n_runs,id,n,p,i,cols,wlp,clear_2fi
16,5-1.1,5,1,1,15,"0,0,1",10
16,5-1.2,5,1,2,7,"0,1,0",4
16,5-1.3,5,1,3,3,"1,0,0",7
16,6-2.1,6,2,1,"7,11","0,3,0,0",0
16,6-2.2,6,2,2,"3,13","1,1,1,0",6
16,6-2.3,6,2,3,"3,12","2,0,0,1",9
16,6-2.4,6,2,4,"3,5","2,1,0,0",5
16,7-3.1,7,3,1,"7,11,13","0,7,0,0,0",0
16,7-3.2,7,3,2,"3,5,14","2,3,2,0,0",2
16,7-3.3,7,3,3,"3,5,10","3,2,1,1,0",4
16,7-3.4,7,3,4,"3,5,9","3,3,0,0,1",0
16,7-3.5,7,3,5,"3,5,6","4,3,0,0,0",6
16,8-4.1,8,4,1,"7,11,13,14","0,14,0,0,0,1",0
16,8-4.2,8,4,2,"3,5,9,14","3,7,4,0,1,0",1
16,8-4.3,8,4,3,"3,5,10,12","4,5,4,2,0,0",0
16,8-4.4,8,4,4,"3,5,6,15","4,6,4,0,0,1",0
16,8-4.5,8,4,5,"3,5,6,9","5,5,2,2,1,0",2
16,8-4.6,8,4,6,"3,5,6,7","7,7,0,0,1,0",7
16,9-5.1,9,5,1,"3,5,9,14,15","4,14,8,0,4,1,0",0
16,9-5.2,9,5,2,"3,5,10,12,15","6,9,9,6,0,0,1",0
16,9-5.3,9,5,3,"3,5,6,9,14","6,10,8,4,2,1,0",0
16,9-5.4,9,5,4,"3,5,6,9,10","7,9,6,6,3,0,0",0
16,9-5.5,9,5,5,"3,5,6,7,9","8,10,4,4,4,1,0",0
16,10-6.1,10,6,1,"3,5,6,9,14,15","8,18,16,8,8,5,0,0",0
16,10-6.2,10,6,2,"3,5,6,9,10,13","9,16,15,12,7,3,1,0",0
16,10-6.3,10,6,3,"3,5,6,9,10,12","10,15,12,15,10,0,0,1",0
16,10-6.4,10,6,4,"3,5,6,7,9,10","10,16,12,12,10,3,0,0",0
16,11-7.1,11,7,1,"3,5,6,9,10,13,14","12,26,28,24,20,13,4",0
16,11-7.2,11,7,2,"3,5,6,7,9,10,12","13,25,25,27,23,10,3,1",0
16,11-7.3,11,7,3,"3,5,6,7,9,10,11","13,26,24,24,26,13,0,0,1",0
16,12-8.1,12,8,1,"3,5,6,9,10,13,14,15","16,39,48,48,48,39,16,0,0,1",0
16,12-8.2,12,8,2,"3,5,6,7,9,10,11,12","17,38,44,52,54,33,12,4,1",0
32,6-1.1,6,1,1,31,"0,0,0,1,0",15
32,7-2.1,7,2,1,"7,27","0,1,2,0,0",15
32,7-2.2,7,2,2,"7,25","0,2,0,1,0",9
32,7-2.3,7,2,3,"7,11","0,3,0,0,0",6
32,7-2.4,7,2,4,"3,29","1,0,1,1,0",18
32,7-2.5,7,2,5,"3,28","1,1,0,0,1",12
32,7-2.6,7,2,6,"3,13","1,1,1,0,0",12
32,7-2.7,7,2,7,"3,12","2,0,0,1,0",15
32,7-2.8,7,2,8,"3,5","2,1,0,0,0",11
32,8-3.1,8,3,1,"7,11,29","0,3,4,0,0",13
32,8-3.2,8,3,2,"7,11,21","0,5,0,2,0",4
32,8-3.3,8,3,3,"7,11,19","0,6,0,0,0",0
32,8-3.4,8,3,4,"7,11,13","0,7,0,0,0",7
32,8-3.5,8,3,5,"3,13,22","1,2,3,1,0",13
32,8-3.6,8,3,6,"3,5,30","2,1,2,2,0",18
32,8-3.7,8,3,7,"3,13,21","1,3,2,0,1",10
32,8-3.8,8,3,8,"3,12,21","2,1,2,2,0",16
32,8-3.9,8,3,9,"3,5,26","2,2,1,1,1",12
32,8-3.10,8,3,10,"3,5,25","2,2,2,0,0",12
32,9-4.1,9,4,1,"7,11,19,29","0,6,8,0,0",8
32,9-4.2,9,4,2,"7,11,13,30","0,7,7,0,0",15
32,9-4.3,9,4,3,"7,11,21,25","0,9,0,6,0",0
32,9-4.4,9,4,4,"7,11,13,19","0,10,0,4,0",2
32,9-4.5,9,4,5,"7,11,13,14","0,14,0,0,0",8
