PV,elemField_eng,elemField_phy,elemHandle,elemIndex,elemLength,elemName,elemPosition,elemType,machine,physicsName,physicsType,pvPolicy,,,
FS_F1S1:PSS_D1024:I_CSET,I,B3,setpoint,12,0,FS_F1S1:S_D1024,2.375,SEXT,LIVE,,SEXT_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSS_D1024:I_RSET,I,B3,readset,12,0,FS_F1S1:S_D1024,2.375,SEXT,LIVE,,SEXT_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSS_D1024:I_RD,I,B3,readback,12,0,FS_F1S1:S_D1024,2.375,SEXT,LIVE,,SEXT_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSS_D1024:ON_CMD,PWRSTS,POWER_STATUS,setpoint,12,0,FS_F1S1:S_D1024,2.375,SEXT,LIVE,,SEXT_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSS_D1024:ON_RSTS,PWRSTS,POWER_STATUS,readback,12,0,FS_F1S1:S_D1024,2.375,SEXT,LIVE,,SEXT_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSO_D1024:I_CSET,I,B4,setpoint,13,0,FS_F1S1:OCT_D1024,2.375,OCT,LIVE,,OCT_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSO_D1024:I_RSET,I,B4,readset,13,0,FS_F1S1:OCT_D1024,2.375,OCT,LIVE,,OCT_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSO_D1024:I_RD,I,B4,readback,13,0,FS_F1S1:OCT_D1024,2.375,OCT,LIVE,,OCT_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSO_D1024:ON_CMD,PWRSTS,POWER_STATUS,setpoint,13,0,FS_F1S1:OCT_D1024,2.375,OCT,LIVE,,OCT_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSO_D1024:ON_RSTS,PWRSTS,POWER_STATUS,readback,13,0,FS_F1S1:OCT_D1024,2.375,OCT,LIVE,,OCT_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSQ_D1035:I_CSET,I,B2,setpoint,15,0.798,FS_F1S1:Q_D1035,3.874,QUAD,LIVE,SC quadrupole with higher-order correctors,QUAD_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSQ_D1035:I_RSET,I,B2,readset,15,0.798,FS_F1S1:Q_D1035,3.874,QUAD,LIVE,SC quadrupole with higher-order correctors,QUAD_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSQ_D1035:I_RD,I,B2,readback,15,0.798,FS_F1S1:Q_D1035,3.874,QUAD,LIVE,SC quadrupole with higher-order correctors,QUAD_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSQ_D1035:ON_CMD,PWRSTS,POWER_STATUS,setpoint,15,0.798,FS_F1S1:Q_D1035,3.874,QUAD,LIVE,SC quadrupole with higher-order correctors,QUAD_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSQ_D1035:ON_RSTS,PWRSTS,POWER_STATUS,readback,15,0.798,FS_F1S1:Q_D1035,3.874,QUAD,LIVE,SC quadrupole with higher-order correctors,QUAD_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSS_D1035:I_CSET,I,B3,setpoint,16,0,FS_F1S1:S_D1035,3.475,SEXT,LIVE,,SEXT_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSS_D1035:I_RSET,I,B3,readset,16,0,FS_F1S1:S_D1035,3.475,SEXT,LIVE,,SEXT_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSS_D1035:I_RD,I,B3,readback,16,0,FS_F1S1:S_D1035,3.475,SEXT,LIVE,,SEXT_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSS_D1035:ON_CMD,PWRSTS,POWER_STATUS,setpoint,16,0,FS_F1S1:S_D1035,3.475,SEXT,LIVE,,SEXT_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSS_D1035:ON_RSTS,PWRSTS,POWER_STATUS,readback,16,0,FS_F1S1:S_D1035,3.475,SEXT,LIVE,,SEXT_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSO_D1035:I_CSET,I,B4,setpoint,17,0,FS_F1S1:OCT_D1035,3.475,OCT,LIVE,,OCT_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSO_D1035:I_RSET,I,B4,readset,17,0,FS_F1S1:OCT_D1035,3.475,OCT,LIVE,,OCT_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSO_D1035:I_RD,I,B4,readback,17,0,FS_F1S1:OCT_D1035,3.475,OCT,LIVE,,OCT_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSO_D1035:ON_CMD,PWRSTS,POWER_STATUS,setpoint,17,0,FS_F1S1:OCT_D1035,3.475,OCT,LIVE,,OCT_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSO_D1035:ON_RSTS,PWRSTS,POWER_STATUS,readback,17,0,FS_F1S1:OCT_D1035,3.475,OCT,LIVE,,OCT_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSD_D1064:I_CSET,I,B,setpoint,23,2.094395,FS_F1S1:DV_D1064,7.494395,BEND,LIVE,,BEND_FSD1,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSD_D1064:I_RSET,I,B,readset,23,2.094395,FS_F1S1:DV_D1064,7.494395,BEND,LIVE,,BEND_FSD1,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSD_D1064:I_RD,I,B,readback,23,2.094395,FS_F1S1:DV_D1064,7.494395,BEND,LIVE,,BEND_FSD1,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSD_D1064:ON_CMD,PWRSTS,POWER_STATUS,setpoint,23,2.094395,FS_F1S1:DV_D1064,7.494395,BEND,LIVE,,BEND_FSD1,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSD_D1064:ON_RSTS,PWRSTS,POWER_STATUS,readback,23,2.094395,FS_F1S1:DV_D1064,7.494395,BEND,LIVE,,BEND_FSD1,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
,,,,,,,,,,,,,,,
# NMR,,,,,,,,,,,,,,,
FS_F1S1:DV_D1064:B_RD_NMR,NMR,NMR_phy,setpoint,23,2.094395,FS_F1S1:DV_D1064,7.494395,BEND,LIVE,,BEND_FSD1,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:DV_D1064:B_RD_NMR,NMR,NMR_phy,readback,23,2.094395,FS_F1S1:DV_D1064,7.494395,BEND,LIVE,,BEND_FSD1,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
,,,,,,,,,,,,,,,
FS_F1S1:PSD_D1108:I_CSET,I,B,setpoint,46,2.094395,FS_F1S1:DV_D1108,11.86479,BEND,LIVE,,BEND_FSD1,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSD_D1108:I_RSET,I,B,readset,46,2.094395,FS_F1S1:DV_D1108,11.86479,BEND,LIVE,,BEND_FSD1,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSD_D1108:I_RD,I,B,readback,46,2.094395,FS_F1S1:DV_D1108,11.86479,BEND,LIVE,,BEND_FSD1,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSD_D1108:ON_CMD,PWRSTS,POWER_STATUS,setpoint,46,2.094395,FS_F1S1:DV_D1108,11.86479,BEND,LIVE,,BEND_FSD1,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSD_D1108:ON_RSTS,PWRSTS,POWER_STATUS,readback,46,2.094395,FS_F1S1:DV_D1108,11.86479,BEND,LIVE,,BEND_FSD1,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
,,,,,,,,,,,,,,,
# NMR,,,,,,,,,,,,,,,
FS_F1S1:DV_D1108:B_RD_NMR,NMR,NMR_phy,setpoint,46,2.094395,FS_F1S1:DV_D1108,11.86479,BEND,LIVE,,BEND_FSD1,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:DV_D1108:B_RD_NMR,NMR,NMR_phy,readback,46,2.094395,FS_F1S1:DV_D1108,11.86479,BEND,LIVE,,BEND_FSD1,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
,,,,,,,,,,,,,,,
FS_F1S1:PSQ_D1137:I_CSET,I,B2,setpoint,52,0.820888,FS_F1S1:Q_D1137,14.074234,QUAD,LIVE,SC quadrupole with higher-order correctors,QUAD_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSQ_D1137:I_RSET,I,B2,readset,52,0.820888,FS_F1S1:Q_D1137,14.074234,QUAD,LIVE,SC quadrupole with higher-order correctors,QUAD_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSQ_D1137:I_RD,I,B2,readback,52,0.820888,FS_F1S1:Q_D1137,14.074234,QUAD,LIVE,SC quadrupole with higher-order correctors,QUAD_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSQ_D1137:ON_CMD,PWRSTS,POWER_STATUS,setpoint,52,0.820888,FS_F1S1:Q_D1137,14.074234,QUAD,LIVE,SC quadrupole with higher-order correctors,QUAD_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSQ_D1137:ON_RSTS,PWRSTS,POWER_STATUS,readback,52,0.820888,FS_F1S1:Q_D1137,14.074234,QUAD,LIVE,SC quadrupole with higher-order correctors,QUAD_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSS_D1137:I_CSET,I,B3,setpoint,53,0,FS_F1S1:S_D1137,13.66379,SEXT,LIVE,,SEXT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSS_D1137:I_RSET,I,B3,readset,53,0,FS_F1S1:S_D1137,13.66379,SEXT,LIVE,,SEXT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSS_D1137:I_RD,I,B3,readback,53,0,FS_F1S1:S_D1137,13.66379,SEXT,LIVE,,SEXT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSS_D1137:ON_CMD,PWRSTS,POWER_STATUS,setpoint,53,0,FS_F1S1:S_D1137,13.66379,SEXT,LIVE,,SEXT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSS_D1137:ON_RSTS,PWRSTS,POWER_STATUS,readback,53,0,FS_F1S1:S_D1137,13.66379,SEXT,LIVE,,SEXT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSO_D1137:I_CSET,I,B4,setpoint,54,0,FS_F1S1:OCT_D1137,13.66379,OCT,LIVE,,OCT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSO_D1137:I_RSET,I,B4,readset,54,0,FS_F1S1:OCT_D1137,13.66379,OCT,LIVE,,OCT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSO_D1137:I_RD,I,B4,readback,54,0,FS_F1S1:OCT_D1137,13.66379,OCT,LIVE,,OCT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSO_D1137:ON_CMD,PWRSTS,POWER_STATUS,setpoint,54,0,FS_F1S1:OCT_D1137,13.66379,OCT,LIVE,,OCT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSO_D1137:ON_RSTS,PWRSTS,POWER_STATUS,readback,54,0,FS_F1S1:OCT_D1137,13.66379,OCT,LIVE,,OCT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSQ_D1148:I_CSET,I,B2,setpoint,56,0.820888,FS_F1S1:Q_D1148,15.161934,QUAD,LIVE,SC quadrupole with higher-order correctors,QUAD_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSQ_D1148:I_RSET,I,B2,readset,56,0.820888,FS_F1S1:Q_D1148,15.161934,QUAD,LIVE,SC quadrupole with higher-order correctors,QUAD_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSQ_D1148:I_RD,I,B2,readback,56,0.820888,FS_F1S1:Q_D1148,15.161934,QUAD,LIVE,SC quadrupole with higher-order correctors,QUAD_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSQ_D1148:ON_CMD,PWRSTS,POWER_STATUS,setpoint,56,0.820888,FS_F1S1:Q_D1148,15.161934,QUAD,LIVE,SC quadrupole with higher-order correctors,QUAD_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSQ_D1148:ON_RSTS,PWRSTS,POWER_STATUS,readback,56,0.820888,FS_F1S1:Q_D1148,15.161934,QUAD,LIVE,SC quadrupole with higher-order correctors,QUAD_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSS_D1148:I_CSET,I,B3,setpoint,57,0,FS_F1S1:S_D1148,14.75149,SEXT,LIVE,,SEXT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSS_D1148:I_RSET,I,B3,readset,57,0,FS_F1S1:S_D1148,14.75149,SEXT,LIVE,,SEXT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSS_D1148:I_RD,I,B3,readback,57,0,FS_F1S1:S_D1148,14.75149,SEXT,LIVE,,SEXT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSS_D1148:ON_CMD,PWRSTS,POWER_STATUS,setpoint,57,0,FS_F1S1:S_D1148,14.75149,SEXT,LIVE,,SEXT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSS_D1148:ON_RSTS,PWRSTS,POWER_STATUS,readback,57,0,FS_F1S1:S_D1148,14.75149,SEXT,LIVE,,SEXT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSO_D1148:I_CSET,I,B4,setpoint,58,0,FS_F1S1:OCT_D1148,14.75149,OCT,LIVE,,OCT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSO_D1148:I_RSET,I,B4,readset,58,0,FS_F1S1:OCT_D1148,14.75149,OCT,LIVE,,OCT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSO_D1148:I_RD,I,B4,readback,58,0,FS_F1S1:OCT_D1148,14.75149,OCT,LIVE,,OCT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSO_D1148:ON_CMD,PWRSTS,POWER_STATUS,setpoint,58,0,FS_F1S1:OCT_D1148,14.75149,OCT,LIVE,,OCT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSO_D1148:ON_RSTS,PWRSTS,POWER_STATUS,readback,58,0,FS_F1S1:OCT_D1148,14.75149,OCT,LIVE,,OCT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSQ_D1170:I_CSET,I,B2,setpoint,62,0.820888,FS_F1S1:Q_D1170,17.449234,QUAD,LIVE,SC quadrupole with higher-order correctors,QUAD_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSQ_D1170:I_RSET,I,B2,readset,62,0.820888,FS_F1S1:Q_D1170,17.449234,QUAD,LIVE,SC quadrupole with higher-order correctors,QUAD_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSQ_D1170:I_RD,I,B2,readback,62,0.820888,FS_F1S1:Q_D1170,17.449234,QUAD,LIVE,SC quadrupole with higher-order correctors,QUAD_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSQ_D1170:ON_CMD,PWRSTS,POWER_STATUS,setpoint,62,0.820888,FS_F1S1:Q_D1170,17.449234,QUAD,LIVE,SC quadrupole with higher-order correctors,QUAD_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSQ_D1170:ON_RSTS,PWRSTS,POWER_STATUS,readback,62,0.820888,FS_F1S1:Q_D1170,17.449234,QUAD,LIVE,SC quadrupole with higher-order correctors,QUAD_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSS_D1170:I_CSET,I,B3,setpoint,63,0,FS_F1S1:S_D1170,17.03879,SEXT,LIVE,,SEXT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSS_D1170:I_RSET,I,B3,readset,63,0,FS_F1S1:S_D1170,17.03879,SEXT,LIVE,,SEXT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSS_D1170:I_RD,I,B3,readback,63,0,FS_F1S1:S_D1170,17.03879,SEXT,LIVE,,SEXT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSS_D1170:ON_CMD,PWRSTS,POWER_STATUS,setpoint,63,0,FS_F1S1:S_D1170,17.03879,SEXT,LIVE,,SEXT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSS_D1170:ON_RSTS,PWRSTS,POWER_STATUS,readback,63,0,FS_F1S1:S_D1170,17.03879,SEXT,LIVE,,SEXT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSO_D1170:I_CSET,I,B4,setpoint,64,0,FS_F1S1:OCT_D1170,17.03879,OCT,LIVE,,OCT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSO_D1170:I_RSET,I,B4,readset,64,0,FS_F1S1:OCT_D1170,17.03879,OCT,LIVE,,OCT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSO_D1170:I_RD,I,B4,readback,64,0,FS_F1S1:OCT_D1170,17.03879,OCT,LIVE,,OCT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSO_D1170:ON_CMD,PWRSTS,POWER_STATUS,setpoint,64,0,FS_F1S1:OCT_D1170,17.03879,OCT,LIVE,,OCT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSO_D1170:ON_RSTS,PWRSTS,POWER_STATUS,readback,64,0,FS_F1S1:OCT_D1170,17.03879,OCT,LIVE,,OCT_FSQ5,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:VD_D1183:XCEN_RD,XCEN,XCEN,readback,73,0.0508,FS_F1S1:VD_D1183,18.368621,VD,LIVE,pre-slit viewer,FSVD2A,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:VD_D1183:YCEN_RD,YCEN,YCEN,readback,73,0.0508,FS_F1S1:VD_D1183,18.368621,VD,LIVE,pre-slit viewer,FSVD2A,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:VD_D1183:XRMS_RD,XRMS,XRMS,readback,73,0.0508,FS_F1S1:VD_D1183,18.368621,VD,LIVE,pre-slit viewer,FSVD2A,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:VD_D1183:YRMS_RD,YRMS,YRMS,readback,73,0.0508,FS_F1S1:VD_D1183,18.368621,VD,LIVE,pre-slit viewer,FSVD2A,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:VD_D1184:XCEN_RD,XCEN,XCEN,readback,77,0,FS_F1S1:VD_D1184,18.406721,VD,LIVE,post-slit viewer,FSVD2A,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:VD_D1184:YCEN_RD,YCEN,YCEN,readback,77,0,FS_F1S1:VD_D1184,18.406721,VD,LIVE,post-slit viewer,FSVD2A,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:VD_D1184:XRMS_RD,XRMS,XRMS,readback,77,0,FS_F1S1:VD_D1184,18.406721,VD,LIVE,post-slit viewer,FSVD2A,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:VD_D1184:YRMS_RD,YRMS,YRMS,readback,77,0,FS_F1S1:VD_D1184,18.406721,VD,LIVE,post-slit viewer,FSVD2A,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S2:PSQ_D1195:I_CSET,I,B2,setpoint,84,0.705757,FS_F1S2:Q_D1195,19.882153,QUAD,LIVE,SC quadrupole with higher-order correctors in triplet cryostat,QUAD_FSQ7,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S2,ARIS
FS_F1S2:PSQ_D1195:I_RSET,I,B2,readset,84,0.705757,FS_F1S2:Q_D1195,19.882153,QUAD,LIVE,SC quadrupole with higher-order correctors in triplet cryostat,QUAD_FSQ7,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S2,ARIS
FS_F1S2:PSQ_D1195:I_RD,I,B2,readback,84,0.705757,FS_F1S2:Q_D1195,19.882153,QUAD,LIVE,SC quadrupole with higher-order correctors in triplet cryostat,QUAD_FSQ7,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S2,ARIS
FS_F1S2:PSQ_D1195:ON_CMD,PWRSTS,POWER_STATUS,setpoint,84,0.705757,FS_F1S2:Q_D1195,19.882153,QUAD,LIVE,SC quadrupole with higher-order correctors in triplet cryostat,QUAD_FSQ7,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S2,ARIS
FS_F1S2:PSQ_D1195:ON_RSTS,PWRSTS,POWER_STATUS,readback,84,0.705757,FS_F1S2:Q_D1195,19.882153,QUAD,LIVE,SC quadrupole with higher-order correctors in triplet cryostat,QUAD_FSQ7,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S2,ARIS
FS_F1S2:PSS_D1195:I_CSET,I,B3,setpoint,85,0,FS_F1S2:S_D1195,19.529274,SEXT,LIVE,,SEXT_FSQ7,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S2,ARIS
FS_F1S2:PSS_D1195:I_RSET,I,B3,readset,85,0,FS_F1S2:S_D1195,19.529274,SEXT,LIVE,,SEXT_FSQ7,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S2,ARIS
FS_F1S2:PSS_D1195:I_RD,I,B3,readback,85,0,FS_F1S2:S_D1195,19.529274,SEXT,LIVE,,SEXT_FSQ7,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S2,ARIS
FS_F1S2:PSS_D1195:ON_CMD,PWRSTS,POWER_STATUS,setpoint,85,0,FS_F1S2:S_D1195,19.529274,SEXT,LIVE,,SEXT_FSQ7,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S2,ARIS
