PV,elemField_eng,elemField_phy,elemHandle,elemIndex,elemLength,elemName,elemPosition,elemType,machine,physicsName,physicsType,pvPolicy,,,
FS_F1S1:PSQ_D1013:I_CSET,I,B2,setpoint,8,0.623673,FS_F1S1:Q_D1013,1.611836,QUAD,LIVE,RT quadrupole,QUAD_FSQ1,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSQ_D1013:I_RSET,I,B2,readset,8,0.623673,FS_F1S1:Q_D1013,1.611836,QUAD,LIVE,RT quadrupole,QUAD_FSQ1,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSQ_D1013:I_RD,I,B2,readback,8,0.623673,FS_F1S1:Q_D1013,1.611836,QUAD,LIVE,RT quadrupole,QUAD_FSQ1,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSQ_D1013:ON_CMD,PWRSTS,POWER_STATUS,setpoint,8,0.623673,FS_F1S1:Q_D1013,1.611836,QUAD,LIVE,RT quadrupole,QUAD_FSQ1,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSQ_D1013:ON_RSTS,PWRSTS,POWER_STATUS,readback,8,0.623673,FS_F1S1:Q_D1013,1.611836,QUAD,LIVE,RT quadrupole,QUAD_FSQ1,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSQ_D1024:I_CSET,I,B2,setpoint,11,0.798,FS_F1S1:Q_D1024,2.774,QUAD,LIVE,SC quadrupole with higher-order correctors,QUAD_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSQ_D1024:I_RSET,I,B2,readset,11,0.798,FS_F1S1:Q_D1024,2.774,QUAD,LIVE,SC quadrupole with higher-order correctors,QUAD_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSQ_D1024:I_RD,I,B2,readback,11,0.798,FS_F1S1:Q_D1024,2.774,QUAD,LIVE,SC quadrupole with higher-order correctors,QUAD_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSQ_D1024:ON_CMD,PWRSTS,POWER_STATUS,setpoint,11,0.798,FS_F1S1:Q_D1024,2.774,QUAD,LIVE,SC quadrupole with higher-order correctors,QUAD_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
FS_F1S1:PSQ_D1024:ON_RSTS,PWRSTS,POWER_STATUS,readback,11,0.798,FS_F1S1:Q_D1024,2.774,QUAD,LIVE,SC quadrupole with higher-order correctors,QUAD_FSQ2,DEFAULT,phantasy.sys.FS,phantasy.sub.F1S1,ARIS
